id,city,year,season
1,Athina,1896,Summer
2,Paris,1900,Summer
3,St. Louis,1904,Summer
4,Athina,1906,Summer
5,London,1908,Summer
6,Stockholm,1912,Summer
7,Antwerpen,1920,Summer
8,Paris,1924,Summer
9,Amsterdam,1928,Summer
10,Los Angeles,1932,Summer
11,Berlin,1936,Summer
12,London,1948,Summer
13,Helsinki,1952,Summer
14,Cortina d'Ampezzo,1956,Winter
15,Squaw Valley,1960,Winter
16,Innsbruck,1964,Winter
17,Mexico City,1968,Summer
18,Munich,1972,Summer
19,Montreal,1976,Summer
20,Lake Placid,1980,Winter
21,Sarajevo,1984,Winter
22,Calgary,1988,Winter
23,Barcelona,1992,Summer
24,Lillehammer,1994,Winter
25,Atlanta,1996,Summer
26,Nagano,1998,Winter
27,Sydney,2000,Summer
28,Salt Lake City,2002,Winter
29,Athina,2004,Summer
30,Torino,2006,Winter
31,Beijing,2008,Summer
32,Vancouver,2010,Winter
33,London,2012,Summer
34,Sochi,2014,Winter
35,Rio de Janeiro,2016,Summer